Country/Region,Population,Density,Urban Population
Afghanistan,38928346,60,9732086.5
Albania,2877797,105,1813012.11
Algeria,43851044,18,32011262.12
American Samoa,55191,276,48568.08
Andorra,77265,164,67993.2
Angola,32866272,26,22020402.24
Anguilla,15003,167,0
Antigua and Barbuda,97929,223,25461.54
Argentina,45195774,17,42032069.82
Armenia,2963243,104,1866843.09
Aruba,106766,593,46977.04
Australia,25499884,3,21929900.24
Austria,9006398,109,5133646.86
Azerbaijan,10139177,123,5677939.12
Bahamas,393244,39,338189.84
Bahrain,1701575,2239,1514401.75
Bangladesh,164689383,1265,64228859.37
Barbados,287375,668,89086.25
Belarus,9449323,47,7464965.17
Belgium,11589623,383,11357830.54
Belize,397628,17,182908.88
Benin,12123200,108,5819136
Bermuda,62278,1246,60409.66
Bhutan,771608,20,354939.68
Bolivia,11673021,11,8054384.49
Bosnia and Herzegovina,3280819,64,1706025.88
Botswana,2351627,4,1716687.71
Brazil,212559417,25,187052287
British Virgin Islands,30231,202,15720.12
Brunei ,437479,83,349983.2
Bulgaria,6948445,64,5280818.2
Burkina Faso,20903273,76,6480014.63
Burundi,11890784,463,1664709.76
Cabo Verde,555987,138,378071.16
Cambodia,16718965,95,4012551.6
Cameroon,26545863,56,14865683.28
Canada,37742154,4,30571144.74
Caribbean Netherlands,26223,80,19667.25
Cayman Islands,65722,274,63750.34
Central African Republic,4829767,8,2076799.81
Chad,16425864,13,3777948.72
Channel Islands,173863,915,52158.9
Chile,19116201,26,16248770.85
China,1439323776,153,877987503.4
Colombia,50882891,46,40706312.8
Comoros,869601,467,252184.29
Congo,5518087,16,3862660.9
Cook Islands,17564,73,13173
Costa Rica,5094118,100,4075294.4
Croatia,4105267,73,2381054.86
Cuba,11326616,106,8834760.48
Curaçao,164093,370,146042.77
Cyprus,1207359,131,808930.53
Czech Republic (Czechia),10708981,139,7924645.94
Côte d'Ivoire,26378274,83,13452919.74
Denmark,5792202,137,5097137.76
Djibouti,988000,43,780520
Dominica,71986,96,53269.64
Dominican Republic,10847910,225,9220723.5
DR Congo,89561403,40,41198245.38
Ecuador,17643054,71,11115124.02
Egypt,102334404,103,44003793.72
El Salvador,6486205,313,4734929.65
Equatorial Guinea,1402985,50,1024179.05
Eritrea,3546421,35,2234245.23
Estonia,1326535,31,902043.8
Eswatini,1160164,67,348049.2
Ethiopia,114963588,115,24142353.48
Faeroe Islands,48863,35,21011.09
Falkland Islands,3480,0,2296.8
Fiji,896445,49,528902.55
Finland,5540720,18,4765019.2
France,65273511,119,53524279.02
French Guiana,298682,4,259853.34
French Polynesia,280908,77,179781.12
Gabon,2225734,9,1936388.58
Gambia,2416668,239,1425834.12
Georgia,3989167,57,2313716.86
Germany,83783942,240,63675795.92
Ghana,31072940,137,17711575.8
Gibraltar,33691,3369,0
Greece,10423054,81,8859595.9
Greenland,56770,0,49389.9
Grenada,112523,331,39383.05
Guadeloupe,400124,237,0
Guam,168775,313,160336.25
Guatemala,17915568,167,9316095.36
Guinea,13132795,53,5121790.05
Guinea-Bissau,1968001,70,885600.45
Guyana,786552,4,212369.04
Haiti,11402528,414,6499440.96
Holy See,801,2003,0
