,Country/Region,Country Code,Lat,Long,Total Confirmed,Total Positives
0,Afghanistan,AFG,33.0,65.0,15197,13417.0
1,Albania,ALB,41.15,20.17,12060,11433.0
2,Algeria,DZA,28.03,1.66,46533,43575.0
3,Andorra,AND,42.51,1.52,15989,15314.0
4,Angola,AGO,-11.2,17.87,440,409.0
5,Antigua and Barbuda,ATG,17.06,-61.8,486,449.0
6,Argentina,ARG,-38.42,-63.62,52548,51348.0
7,Armenia,ARM,40.07,45.04,26395,25469.0
8,Australia,AUS,-35.47,149.01,337150,167503.0
9,Austria,AUT,47.52,14.55,380132,366404.0
10,Azerbaijan,AZE,40.14,47.58,23914,22351.0
11,Bahrain,BHR,26.03,50.55,35143,33008.0
12,Bangladesh,BGD,23.69,90.36,24395,20588.0
13,Barbados,BRB,13.19,-59.54,1694,1639.0
14,Belarus,BLR,53.71,27.95,62922,55409.0
15,Belgium,BEL,50.83,4.0,713700,671924.0
16,Belize,BLZ,13.19,-59.54,285,267.0
17,Benin,BEN,9.31,2.32,764,718.0
18,Bhutan,BTN,27.51,90.43,157,149.0
19,Bosnia and Herzegovina,BIH,43.92,17.68,23814,22263.0
20,Botswana,BWA,-22.33,24.68,265,240.0
21,Brazil,BRA,-14.24,-51.93,551582,504479.0
22,Bulgaria,BGR,42.73,25.49,18773,17829.0
23,Burkina Faso,BFA,12.24,-1.56,12066,11210.0
24,Burundi,BDI,-3.37,29.92,97,91.0
25,Cambodia,KHM,11.55,104.92,3866,3743.0
26,Cameroon,CMR,3.85,11.5,18587,17115.0
27,Canada,CAN,53.93,-116.58,591414,544740.0
28,Chad,TCD,15.45,18.73,444,428.0
29,Chile,CHL,-35.68,-71.54,172784,161614.0
30,China,CHN,31.83,117.23,6015576,5976159.0
31,Colombia,COL,4.57,-74.3,63431,59386.0
32,Congo,COD,-4.04,21.76,7555,1862.0
33,Costa Rica,CRI,9.75,-83.75,15258,14678.0
34,Croatia,HRV,45.1,15.2,39808,37770.0
35,Cuba,CUB,22.0,-80.0,15438,14261.0
36,Cyprus,CYP,35.13,33.43,15357,14543.0
37,Denmark,DNK,61.89,-6.91,165672,151922.0
38,Dominica,DMA,15.42,-61.37,411,396.0
39,Ecuador,ECU,-1.83,-78.18,161183,150873.0
40,Egypt,EGY,26.0,30.0,53077,47967.0
41,El Salvador,SLV,13.79,-88.9,2953,2830.0
42,Equatorial Guinea,GNQ,1.5,10.0,980,899.0
43,Eritrea,ERI,15.18,39.78,780,741.0
44,Estonia,EST,58.6,25.01,35291,33689.0
45,Ethiopia,ETH,9.15,40.49,1772,1653.0
46,Fiji,FJI,-17.71,178.07,367,362.0
47,Finland,FIN,64.0,26.0,75826,71749.0
48,France,FRA,3.93,-53.13,2831552,2310324.0
49,Gabon,GAB,-0.8,11.61,1500,1387.0
50,Georgia,GEO,42.32,43.36,7152,6707.0
51,Germany,DEU,51.0,9.0,3266054,2985992.0
52,Ghana,GHA,7.95,-1.02,12947,11845.0
53,Greece,GRC,39.07,21.82,57483,55084.0
54,Greenland,GRL,12.12,-61.68,338,303.0
55,Guatemala,GTM,15.78,-90.23,3642,3581.0
56,Guinea,GIN,9.95,-9.7,7002,6155.0
57,Guinea-Bissau,GNB,11.8,-15.18,778,751.0
58,Guyana,GUY,5.0,-58.75,1105,1012.0
59,Haiti,HTI,18.97,-72.29,862,808.0
60,Honduras,HND,15.2,-86.24,8892,8882.0
61,Hungary,HUN,47.16,19.5,31966,31943.0
62,Iceland,ISL,64.96,-19.02,47101,45370.0
63,India,IND,21.0,78.0,227465,205170.0
64,Indonesia,IDN,-0.79,113.92,104969,97281.0
65,Iraq,IRQ,33.0,44.0,34032,32018.0
66,Ireland,IRL,53.14,-7.69,235165,219834.0
67,Israel,ISR,31.0,35.0,269946,255927.0
68,Italy,ITA,43.0,12.0,4553647,4368092.0
69,Jamaica,JAM,18.11,-77.3,2647,2541.0
70,Japan,JPN,36.0,138.0,174832,168088.0
71,Jordan,JOR,31.24,36.51,10666,10033.0
72,Kazakhstan,KAZ,48.02,66.92,25664,24036.0
73,Kenya,KEN,-0.02,37.91,4762,4446.0
74,Kuwait,KWT,29.5,47.75,30221,27758.0
75,Kyrgyzstan,KGZ,41.2,74.77,8326,8222.0
76,Latvia,LVA,56.88,24.6,16887,16176.0
77,Lebanon,LBN,33.85,35.86,18468,17675.0
78,Liberia,LBR,6.43,-9.43,1088,1007.0
79,Libya,LBY,26.34,17.23,726,662.0
80,Liechtenstein,LIE,47.14,9.55,2412,2382.0
81,Lithuania,LTU,55.17,23.88,25884,24943.0
82,Luxembourg,LUX,49.82,6.13,86710,83051.0
83,Madagascar,MDG,-18.77,46.87,2412,2277.0
84,Malawi,MWI,-13.25,34.3,250,227.0
85,Malaysia,MYS,2.5,112.5,126809,121262.0
86,Maldives,MDV,3.2,73.22,958,863.0
87,Mali,MLI,17.57,-4.0,2807,2511.0
88,Malta,MLT,35.94,14.38,9182,8758.0
89,Mauritania,MRT,21.01,10.94,192,183.0
90,Mauritius,MUS,-20.2,57.5,7098,6762.0
91,Mexico,MEX,23.63,-102.55,104783,104733.0
92,Monaco,MCO,43.73,7.42,2284,2218.0
93,Mongolia,MNG,46.86,103.85,634,592.0
94,Montenegro,MNE,42.5,19.3,6328,6024.0
95,Morocco,MAR,31.79,-7.09,43221,39655.0
96,Mozambique,MOZ,-18.67,35.53,557,520.0
97,Myanmar,MMR,21.92,95.96,1291,1201.0
98,Namibia,NAM,-22.96,18.49,441,414.0
99,Nepal,NPL,28.17,84.25,466,404.0
100,New Zealand,NZL,-40.9,174.89,30741,25015.0
101,Nicaragua,NIC,12.87,-85.21,202,215.0
102,Niger,NER,17.61,8.08,9628,8925.0
103,Nigeria,NGA,9.08,8.68,9291,8465.0
104,Norway,NOR,60.47,8.47,191182,177689.0
105,Oman,OMN,21.0,57.0,17713,16355.0
106,Pakistan,PAK,30.38,69.35,135981,127936.0
107,Panama,PAN,8.54,-80.78,73231,73045.0
108,Papua New Guinea,PNG,-6.32,143.96,87,78.0
109,Paraguay,PRY,-23.44,-58.44,3728,3656.0
110,Peru,PER,-9.19,-75.02,192440,171090.0
111,Poland,POL,51.92,19.15,157524,147399.0
