,sovereignt,sov_a3,Latitude,Longitude,region_un,subregion,region_wb
1,Afghanistan,AFG,33.83523073,66.00473366,Asia,Southern Asia,South Asia
4,Albania,ALB,41.14244989,20.04983396,Europe,Southern Europe,Europe & Central Asia
62,Algeria,DZA,28.15893849,2.61732301,Africa,Northern Africa,Middle East & North Africa
6,Andorra,AND,42.54229102,1.56054378,Europe,Southern Europe,Europe & Central Asia
2,Angola,AGO,-12.29336054,17.53736768,Africa,Middle Africa,Sub-Saharan Africa
11,Antarctica,ATA,-80.50857913,19.92108951,Antarctica,Antarctica,Antarctica
14,Antigua and Barbuda,ATG,17.277499600000002,-61.79469343,Americas,Caribbean,Latin America & Caribbean
8,Argentina,ARG,-35.3813488,-65.17980692,Americas,South America,Latin America & Caribbean
9,Armenia,ARM,40.28952569,44.92993276,Asia,Western Asia,Europe & Central Asia
12,Australia,AU1,-12.42993164,123.58383789,Oceania,Australia and New Zealand,East Asia & Pacific
16,Austria,AUT,47.58549439,14.1264761,Europe,Western Europe,Europe & Central Asia
17,Azerbaijan,AZE,40.28827235,47.54599879,Asia,Western Asia,Europe & Central Asia
24,Bahrain,BHR,26.04205135,50.54196932,Asia,Western Asia,Middle East & North Africa
22,Bangladesh,BGD,23.86731158,90.23812743,Asia,Southern Asia,South Asia
34,Barbados,BRB,13.18145428,-59.559796999999996,Americas,Caribbean,Latin America & Caribbean
29,Belarus,BLR,53.53131377,28.03209307,Europe,Eastern Europe,Europe & Central Asia
19,Belgium,BEL,50.63981576,4.64065114,Europe,Western Europe,Europe & Central Asia
30,Belize,BLZ,17.20027509,-88.71010486,Americas,Central America,Latin America & Caribbean
20,Benin,BEN,9.6417597,2.32785254,Africa,Western Africa,Sub-Saharan Africa
36,Bhutan,BTN,27.41106589,90.40188155,Asia,Southern Asia,South Asia
32,Bolivia,BOL,-16.70814787,-64.68538645,Americas,South America,Latin America & Caribbean
27,Bosnia and Herzegovina,BIH,44.17450125,17.76876733,Europe,Southern Europe,Europe & Central Asia
37,Botswana,BWA,-22.18403213,23.79853368,Africa,Southern Africa,Sub-Saharan Africa
33,Brazil,BRA,-10.78777702,-53.09783113,Americas,South America,Latin America & Caribbean
35,Brunei,BRN,4.51968958,114.72203035,Asia,South-Eastern Asia,East Asia & Pacific
23,Bulgaria,BGR,42.76890318,25.21552909,Europe,Eastern Europe,Europe & Central Asia
21,Burkina Faso,BFA,12.26953846,-1.75456601,Africa,Western Africa,Sub-Saharan Africa
18,Burundi,BDI,-3.35939666,29.87512156,Africa,Eastern Africa,Sub-Saharan Africa
115,Cambodia,KHM,12.72004786,104.90694325,Asia,South-Eastern Asia,East Asia & Pacific
43,Cameroon,CMR,5.69109849,12.73964156,Africa,Middle Africa,Sub-Saharan Africa
25,Canada,CAN,61.36206324,-98.30777028,Americas,Northern America,North America
49,Cape Verde,CPV,15.95523324,-23.959888199999998,Africa,Western Africa,Sub-Saharan Africa
38,Central African Republic,CAF,6.56823297,20.46826831,Africa,Middle Africa,Sub-Saharan Africa
211,Chad,TCD,15.33333758,18.64492513,Africa,Middle Africa,Sub-Saharan Africa
40,Chile,CHL,-37.73070989,-71.38256213,Americas,South America,Latin America & Caribbean
41,China,CH1,36.56176546,103.81907349,Asia,Eastern Asia,East Asia & Pacific
47,Colombia,COL,3.91383431,-73.08114582,Americas,South America,Latin America & Caribbean
48,Comoros,COM,-11.87783444,43.68253968,Africa,Eastern Africa,Sub-Saharan Africa
50,Costa Rica,CRI,9.97634464,-84.19208768,Americas,Central America,Latin America & Caribbean
93,Croatia,HRV,45.08047631,16.40412899,Europe,Southern Europe,Europe & Central Asia
51,Cuba,CUB,21.62289528,-79.01605384,Americas,Caribbean,Latin America & Caribbean
55,Cyprus,CYP,34.91667211,33.0060022,Asia,Western Asia,Europe & Central Asia
56,Czech Republic,CZE,49.73341233,15.31240163,Europe,Eastern Europe,Europe & Central Asia
44,Democratic Republic of the Congo,COD,-2.87746289,23.64396107,Africa,Middle Africa,Sub-Saharan Africa
60,Denmark,DN1,55.98125296,10.02800992,Europe,Northern Europe,Europe & Central Asia
58,Djibouti,DJI,11.74871806,42.560675399999994,Africa,Eastern Africa,Middle East & North Africa
59,Dominica,DMA,15.439470199999999,-61.357726,Americas,Caribbean,Latin America & Caribbean
61,Dominican Republic,DOM,18.89433082,-70.50568896,Americas,Caribbean,Latin America & Caribbean
216,East Timor,TLS,-8.82889162,125.84438982,Asia,South-Eastern Asia,East Asia & Pacific
63,Ecuador,ECU,-1.42381612,-78.75201922,Americas,South America,Latin America & Caribbean
64,Egypt,EGY,26.49593311,29.86190099,Africa,Northern Africa,Middle East & North Africa
195,El Salvador,SLV,13.73943744,-88.87164469,Americas,Central America,Latin America & Caribbean
83,Equatorial Guinea,GNQ,1.70555135,10.34137924,Africa,Middle Africa,Sub-Saharan Africa
65,Eritrea,ERI,15.36186618,38.84617011,Africa,Eastern Africa,Sub-Saharan Africa
67,Estonia,EST,58.67192972,25.54248537,Europe,Northern Europe,Europe & Central Asia
68,Ethiopia,ETH,8.62278679,39.60080098,Africa,Eastern Africa,Sub-Saharan Africa
74,Federated States of Micronesia,FSM,7.45246814,153.23943792,Oceania,Micronesia,East Asia & Pacific
70,Fiji,FJI,-17.42858032,165.45195432,Oceania,Melanesia,East Asia & Pacific
